match_id,date,time_of_day,day_of_week,patch,is_new_patch,map,starting_side,games_played_today,ally_net_winstreak,ally_avg_rank,ally_avg_acs,ally_avg_kd,ally_avg_eco,ally_num_duelists,ally_num_initiators,ally_num_controllers,ally_num_sentinels,ally_has_healer,enemy_avg_rank,enemy_avg_acs,enemy_avg_kd,enemy_avg_eco,enemy_num_duelists,enemy_num_initiators,enemy_num_controllers,enemy_num_sentinels,enemy_has_healer,enemy_smurf_suspected,delta_rank,delta_acs,delta_kd,delta_eco,won,queue_wait_seconds,ally_is_premade,ally_agents,ally_is_comp_standard,ally_avg_rr,ally_rank_spread,tilt_flag,enemy_agents,enemy_is_premade,enemy_premade_size,enemy_avg_rr,enemy_rank_spread,delta_rr,rounds_won,rounds_lost,round_margin
d711307c-4276-48cd-a3c2-59ff08cabd11,2026-05-11,afternoon,Monday,release-12.08-shipping-7-4578383,,Pearl,attack,1,-1,12.00,220.91,1.29,3759.05,1,1,0,2,no,11.80,187.84,0.78,3277.14,1,1,1,1,no,,0.20,33.08,0.51,481.90,yes,,yes,Killjoy|Cypher|Fade|Phoenix|Miks,,43.40,8,,Chamber|Waylay|Fade|Reyna|Brimstone,yes,5,,7,,13,8,5
287bfd5a-9674-4b31-b442-77bf0589d641,2026-05-11,evening,Monday,release-12.08-shipping-7-4578383,,Lotus,attack,2,1,12.00,211.29,1.70,3596.25,1,2,1,0,no,11.20,169.11,0.68,2700.00,2,1,1,1,yes,,0.80,42.17,1.02,896.25,yes,,yes,Breach|Viper|Fade|Iso|Miks,,43.40,8,,Jett|Sage|Breach|Omen|Raze,yes,5,,4,,13,3,10
ee11ffd1-9ce0-47a4-a1a9-946771b2eb41,2026-05-12,afternoon,Tuesday,release-12.08-shipping-7-4578383,,Split,defense,1,2,13.20,231.98,1.59,3717.22,1,1,1,1,yes,12.60,182.09,0.68,3041.11,2,1,1,1,yes,,0.60,49.89,0.91,676.11,yes,,yes,Gekko|Sage|Miks|Viper|Reyna,,44.40,3,,Tejo|Phoenix|Jett|Sage|Brimstone,yes,5,,4,,13,5,8
fca76a7a-9d21-47b8-9024-2ea72715d749,2026-05-12,evening,Tuesday,release-12.08-shipping-7-4578383,,Fracture,attack,2,3,13.80,208.64,0.93,3743.08,1,2,0,1,no,14.00,219.43,1.11,4054.23,1,1,1,2,yes,,-0.20,-10.79,-0.18,-311.15,no,,yes,Tejo|Gekko|Killjoy|Miks|Reyna,,44.40,4,,Tejo|Jett|Omen|Vyse|Sage,yes,5,,8,,12,14,-2
afeccac3-7185-44a9-88f7-12fa4cc700f2,2026-05-13,afternoon,Wednesday,release-12.09-shipping-22-4651524,,Lotus,attack,1,-1,12.40,235.89,1.10,3764.55,1,1,0,2,yes,12.20,217.22,0.92,3463.18,1,1,1,2,yes,,0.20,18.67,0.17,301.36,yes,,yes,Fade|Sage|Reyna|Cypher|Miks,,35.00,9,,Skye|Jett|Sage|Clove|Vyse,yes,5,,5,,13,9,4
12d85efe-82cc-4ca9-8ce2-6ef85aa90620,2026-05-13,evening,Wednesday,release-12.09-shipping-22-4651524,,Haven,attack,2,1,12.40,240.28,1.92,4033.89,2,1,0,1,no,12.60,163.46,0.64,3021.11,2,0,0,2,yes,,-0.20,76.82,1.28,1012.78,yes,,yes,Sova|Reyna|Cypher|Phoenix|Miks,,35.00,9,,Sage|Cypher|Reyna|Miks|Phoenix,yes,5,,5,,13,5,8
4e85121f-27a1-46c9-ba22-9c5606df73bd,2026-05-14,afternoon,Thursday,release-12.09-shipping-22-4651524,,Pearl,defense,1,2,12.80,208.28,0.98,3564.17,2,1,0,1,no,10.80,217.80,1.06,3654.58,3,1,1,0,no,,2.00,-9.53,-0.07,-90.42,no,,yes,Fade|Phoenix|Miks|Cypher|Reyna,,35.00,8,,Tejo|Iso|Reyna|Phoenix|Astra,yes,5,,7,,11,13,-2
60ecab73-ff7d-454f-8068-5f7cdcfb084b,2026-05-14,evening,Thursday,release-12.09-shipping-22-4651524,,Split,defense,2,-1,12.80,241.91,1.45,3705.88,1,1,1,1,yes,11.00,201.61,0.75,3296.47,2,0,1,2,yes,,1.80,40.29,0.69,409.41,yes,,yes,Viper|Gekko|Reyna|Miks|Sage,,35.00,8,,Raze|Omen|Deadlock|Sage|Reyna,yes,5,,7,,13,4,9
1f81ddd0-26fc-48d0-8710-0a53d98cfa5c,2026-05-15,afternoon,Friday,release-12.09-shipping-25-4697179,,Haven,attack,1,1,12.60,209.01,1.10,3765.00,1,1,0,2,yes,11.80,200.29,0.93,3255.50,2,1,1,1,yes,,0.80,8.72,0.17,509.50,yes,,yes,Reyna|Sova|Sage|Miks|Cypher,,35.00,8,,Sage|Jett|Omen|Raze|Skye,yes,5,,16,,13,7,6
f8b9a327-2aca-4cf5-b407-2347a02be995,2026-05-15,evening,Friday,release-12.09-shipping-25-4697179,,Lotus,attack,2,2,12.60,240.19,1.01,3392.17,1,1,0,2,yes,14.40,235.50,1.01,3493.04,1,2,1,1,yes,,-1.80,4.69,0.00,-100.87,no,,yes,Reyna|Fade|Miks|Cypher|Sage,,35.00,8,,Clove|Fade|Reyna|Breach|Sage,yes,5,,6,,10,13,-3
99214bf1-3d24-4030-83ff-b3b3780a9cea,2026-05-16,afternoon,Saturday,release-12.09-shipping-25-4697179,,Pearl,attack,1,-1,14.00,232.45,1.67,3785.88,2,1,0,1,no,14.40,169.81,0.63,2895.88,2,1,0,1,no,,-0.40,62.64,1.04,890.00,yes,,yes,Cypher|Miks|Phoenix|Fade|Reyna,,44.40,3,,Sova|Chamber|Neon|Miks|Reyna,yes,5,,3,,13,4,9
